Wavelength_nm,Reconstructed
879.878125,0.72051310254364
879.8875,0.699654972793342
879.896875,0.678467623708585
879.90625,0.65701227609846
879.915625,0.635350135535668
879.925,0.613542024078112
879.934375,0.59164802607074
879.94375,0.569727150406468
879.953125,0.547837011408477
879.9625,0.52603353028
879.971875,0.504370658820835
879.98125,0.482900126867872
879.990625,0.461671214662561
880,0.440730551084137
880.009375,0.420121938435703
880.01875,0.39988620420113
880.028125,0.380061079939297
880.0375,0.360681107231407
880.046875,0.341777570350191
880.05625,0.323378455097019
880.065625,0.305508433026426
880.075,0.288188870079622
880.084375,0.27143785846256
880.09375,0.255270270432964
880.103125,0.239697832521064
880.1125,0.224729218575562
880.121875,0.210370159926616
880.13125,0.196623570875779
880.140625,0.183489687660302
880.15,0.170966219008588
880.159375,0.159048506382726
880.16875,0.147729692013999
880.178125,0.137000892863685
880.1875,0.126851378684402
880.196875,0.117268752425263
880.20625,0.108239131298325
880.215625,0.0997473269198635
880.225,0.091777023045038
880.234375,0.0843109495281471
880.24375,0.077331051267932
880.253125,0.0708186510236025
880.2625,0.0647546051232555
880.271875,0.0591194512220933
880.28125,0.0538935474026162
880.290625,0.049057202046123
880.3,0.0445907940336671
880.309375,0.0404748829628343
880.31875,0.0366903091872206
880.328125,0.0332182835981105
880.3375,0.0300404671751038
880.346875,0.0271390404274061
880.35625,0.0244967629359084
880.365625,0.0220970232837299
880.375,0.019923879730117
880.384375,0.0179620920416714
880.39375,0.0161971449420169
880.403125,0.0146152636805527
880.4125,0.0132034222507275
880.421875,0.0119493448093659
880.43125,0.0108415008628638
880.440625,0.0098690947918874
880.45,0.00902205028667799
880.459375,0.00829099025941737
880.46875,0.00766721278944576
880.478125,0.00714266364287235
880.4875,0.00670990588975233
880.496875,0.00636208712150836
880.50625,0.00609290474845573
880.515625,0.00589656983297369
880.525,0.00576776988881548
880.534375,0.00570163105120335
880.54375,0.00569367999662787
880.553125,0.00573980596558185
880.5625,0.00583622321623314
880.571875,0.00597943421233197
880.58125,0.00616619382461519
880.590625,0.00639347480160217
880.6,0.00665843474294631
880.609375,0.00695838478644331
880.61875,0.00729076019807243
880.628125,0.00765309303327971
880.6375,0.00804298701663226
880.646875,0.00845809476601548
880.65625,0.00889609746665472
880.665625,0.00935468707891784
880.675,0.00983155114258992
880.684375,0.010324360218449
880.69375,0.0108307579858131
880.703125,0.0113483539923304
880.7125,0.0118747190292265
880.721875,0.0124073830823515
880.73125,0.0129438357860716
880.740625,0.0134815292839479
880.75,0.0140178833774736
880.759375,0.0145502928216714
880.76875,0.0150761366051639
880.778125,0.0155927890319353
880.7875,0.0160976324031936
880.796875,0.0165880710808481
880.80625,0.0170615466989825
880.815625,0.0175155542774346
880.825,0.0179476589816723
880.834375,0.0183555132663428
880.84375,0.0187368741363206
880.853125,0.0190896202585993
880.8625,0.0194117686617137
880.871875,0.0197014907659505
880.88125,0.0199571274978081
880.890625,0.0201772032558583
880.9,0.0203604385119646
880.909375,0.0205057608519529
880.91875,0.0206123142825973
880.928125,0.02067946665714
